Country,renewable_percentage,total_capacity_mw,num_facilities,avg_facility_size_mw,energy_security_score,global_market_share,governance_composite,mining_regulatory_score,political_risk_level,infrastructure_development,clean_energy_readiness,market_dominance_score,economic_criteria_score,political_criteria_score,operational_criteria_score,environmental_criteria_score,mcda_composite_score,mcda_rank,location_attractiveness
Bhutan,0.3918098826896527,-0.49938857468133974,-0.5447310302346796,0.5616845300915736,-0.16621052041641438,-0.49938857468133974,-0.5648171428949156,-0.7123143712319507,0.1856953381770518,-0.3270348507467961,0.2724714344584684,-0.5568682511851046,0.15985767789994035,-0.6372395473602606,-0.02717937463748781,0.39180988268965344,-0.10466929192591572,9.0,High
Canada,0.3705889287734197,0.015984410871721897,0.2334561558148628,-0.4949580760780451,0.09761732770907974,0.01598441087172189,0.8472257143423735,0.781248020060849,-0.7427813527082073,0.24875360912155023,0.32460927383829946,0.08714674615488122,0.4570791496002943,0.8161138062684041,0.30774125427784627,0.37058892877342053,0.6136779996969758,3.0,Very High
El Salvador,0.39167077649840387,-0.13051755456468142,-0.5447310302346796,2.541573001452587,1.5604310450504177,-0.13051755456468142,-0.9992918681986968,-0.9420932006616122,1.114172029062311,1.0400578577038957,0.7256265036453436,-0.2746613597028785,0.9373809678651054,-0.9726287828130294,0.9457936775594399,0.39167077649840437,0.31665915098584535,5.0,Very High
Ethiopia,-2.9606493264174314,-0.7570750674578706,-0.5447310302346796,-0.8214290474194887,-2.2268209911500763,-0.7570750674578706,-1.7596226374803141,-1.7463191036654273,2.0426487199475702,-2.1190770306859767,-2.973161094783466,-0.7540127817595675,-2.6193056529625998,-1.7552036655361567,-2.733784958592411,-2.9606493264174314,-2.8741371276973227,10.0,Low
Iceland,0.3918098826896527,-0.7348381619898451,-0.5447310302346796,-0.7020740686494986,-0.16621052041641438,-0.7348381619898451,0.9558443956683187,0.8961374347756799,-0.7427813527082073,-0.9929000751905741,0.2724714344584684,-0.7370003095780149,-0.27686462481012963,0.9279102180859939,-0.3819517997187689,0.39180988268965344,0.2061089435507359,6.0,Very High
Norway,0.3918098826896527,-0.20115243075723302,-0.4739867405938122,0.6599768655492126,-0.16621052041641438,-0.20115243075723302,1.064463076994264,1.2408056789201718,-0.7427813527082073,-0.06485374097437004,0.2724714344584684,-0.3059986193852007,0.30867041045982496,1.1515030417211731,0.11251049759178179,0.39180988268965344,0.6327107040878268,2.0,Very High
Paraguay,0.3913285532985389,1.0611189678689206,2.7802505828860924,-0.6387457210903627,-0.16000281436251576,1.0611189678689203,-1.2165292308505873,-1.1718720300912735,1.114172029062311,0.4186283842567627,0.2737127167172867,1.704017820767688,0.5424611132876505,-1.1962216064482087,0.3707793358358368,0.39132855329853955,-0.060887283660918466,8.0,High
Spain,0.3918098826896527,-0.7596911739835206,-0.5447310302346796,-0.8354708096277229,-0.16621052041641438,-0.7596911739835207,0.1955136263867016,0.3216903612015261,-0.7427813527082073,0.5475856918788826,0.2724714344584684,-0.7560142490750443,-0.6693095024112434,0.25713174718045617,0.43881770636702927,0.39180988268965344,0.034940292032949155,7.0,Very High
Sweden,0.3918098826896527,-0.556942918245641,-0.40324245095294464,-0.4774058733177524,-0.16621052041641438,-0.5569429182456411,1.064463076994264,1.0110268494905104,-0.7427813527082073,-0.3790750128513873,0.2724714344584684,-0.555495816454492,0.11146803774646563,1.039706629903583,-0.05490632873227643,0.39180988268965344,0.4756274702068196,4.0,Very High
United States,-0.15198834560119848,2.56250250293949,0.5871776040192003,0.2068491990894971,1.5598280348351825,2.5625025029394894,0.41275098903859214,0.3216903612015261,-0.7427813527082073,1.6279151674880077,0.2868554282901974,2.148886820217734,1.0485624233246935,0.368928158998046,1.0221799900490087,-0.15198834560119778,0.7599691427230095,1.0,Very High
